activity,activities_code,states,activities_name
camping,apis,wi,apostle islands national lakeshore
camping,appa,"ct,ga,ma,md,me,nc,nh,nj,ny,pa,tn,va,vt,wv",appalachian national scenic trail
camping,arch,ut,arches national park
camping,asis,"md,va",assateague island national seashore
camping,badl,sd,badlands national park
camping,band,nm,bandelier national monument
camping,bela,ak,bering land bridge national preserve
camping,bibe,tx,big bend national park
camping,bica,"mt,wy",bighorn canyon national recreation area
camping,bicy,fl,big cypress national preserve
camping,bisc,fl,biscayne national park
camping,biso,"ky,tn",big south fork national river and recreation area
camping,bith,tx,big thicket national preserve
camping,blca,co,black canyon of the gunnison national park
camping,blri,"nc,va",blue ridge parkway
camping,boha,ma,boston harbor islands national recreation area
camping,brca,ut,bryce canyon national park
camping,buff,ar,buffalo national river
camping,cach,az,canyon de chelly national monument
camping,caco,ma,cape cod national seashore
camping,caha,nc,cape hatteras national seashore
camping,cajo,"va,md,de,dc,pa,ny",captain john smith chesapeake national historic trail
camping,cakr,ak,cape krusenstern national monument
camping,calo,nc,cape lookout national seashore
camping,camo,ca,castle mountains national monument
camping,cana,fl,canaveral national seashore
camping,cany,ut,canyonlands national park
camping,care,ut,capitol reef national park
camping,cato,md,catoctin mountain park
camping,cave,nm,carlsbad caverns national park
camping,cebr,ut,cedar breaks national monument
camping,chcu,nm,chaco culture national historical park
camping,chic,ok,chickasaw national recreation area
camping,chir,az,chiricahua national monument
camping,chis,ca,channel islands national park
camping,choh,"dc,md,wv",chesapeake and ohio canal national historical park
camping,ciro,id,city of rocks national reserve
camping,colm,co,colorado national monument
camping,cong,sc,congaree national park
camping,crla,or,crater lake national park
camping,crmo,id,craters of the moon national monument and preserve
camping,cuga,"ky,tn,va",cumberland gap national historical park
camping,cuis,ga,cumberland island national seashore
camping,cure,co,curecanti national recreation area
camping,dena,ak,denali national park and preserve
camping,depo,ca,devils postpile national monument
camping,deto,wy,devils tower national monument
camping,deva,"ca,nv",death valley national park
camping,dewa,"nj,pa",delaware water gap national recreation area
camping,dino,"co,ut",dinosaur national monument
camping,drto,fl,dry tortugas national park
camping,ebla,wa,ebey's landing national historical reserve
camping,elma,nm,el malpais national monument
camping,elmo,nm,el morro national monument
camping,ever,fl,everglades national park
camping,fiis,ny,fire island national seashore
camping,gaar,ak,gates of the arctic national park and preserve
camping,gari,wv,gauley river national recreation area
camping,gate,"ny,nj",gateway national recreation area
camping,gicl,nm,gila cliff dwellings national monument
camping,glac,mt,glacier national park
camping,glba,ak,glacier bay national park and preserve
camping,glca,"az,ut",glen canyon national recreation area
camping,goga,ca,golden gate national recreation area
camping,grba,nv,great basin national park
camping,grca,az,grand canyon national park
camping,gree,md,greenbelt park
camping,greg,nj,great egg harbor river
camping,grpo,mn,grand portage national monument
camping,grsa,co,great sand dunes national park and preserve
camping,grsm,"nc,tn",great smoky mountains national park
camping,grte,wy,grand teton national park
camping,guis,"fl,ms",gulf islands national seashore
camping,gumo,tx,guadalupe mountains national park
camping,hale,hi,haleakala national park
camping,havo,hi,hawaii volcanoes national park
camping,hosp,ar,hot springs national park
camping,hove,"co,ut",hovenweep national monument
camping,iatr,wi,ice age national scenic trail
camping,indu,in,indiana dunes national park
camping,isro,mi,isle royale national park
camping,jotr,ca,joshua tree national park
camping,katm,ak,katmai national park and preserve
camping,kaww,me,katahdin woods and waters national monument
camping,kefj,ak,kenai fjords national park
camping,klgo,ak,klondike gold rush national historical park
camping,kova,ak,kobuk valley national park
camping,labe,ca,lava beds national monument
camping,lacl,ak,lake clark national park and preserve
camping,lake,"az,nv",lake mead national recreation area
camping,lamr,tx,lake meredith national recreation area
camping,laro,wa,lake roosevelt national recreation area
camping,lavo,ca,lassen volcanic national park
camping,lode,"pa,nj",lower delaware national wild and scenic river
camping,maca,ky,mammoth cave national park
camping,meve,co,mesa verde national park
camping,mnrr,"sd,ne",missouri national recreational river
camping,moca,az,montezuma castle national monument
camping,moja,ca,mojave national preserve
camping,mora,wa,mount rainier national park
camping,nabr,ut,natural bridges national monument
camping,natr,"al,ms,tn",natchez trace parkway
camping,nava,az,navajo national monument
camping,neen,"ma,ct",new england national scenic trail
camping,neri,wv,new river gorge national park and preserve
camping,niob,ne,niobrara national scenic river
camping,noat,ak,noatak national preserve
camping,noca,wa,north cascades national park
camping,noco,"mi,mn,nd,ny,oh,pa,vt,wi",north country national scenic trail
camping,npnh,ny,national parks of new york harbor
camping,obed,tn,obed wild and scenic river
camping,olym,wa,olympic national park
camping,orca,or,oregon caves national monument and preserve
camping,orpi,az,organ pipe cactus national monument
camping,ozar,mo,ozark national scenic riverways
camping,pais,tx,padre island national seashore
camping,para,az,grand canyon-parashant national monument
camping,pefo,az,petrified forest national park
camping,pinn,ca,pinnacles national park
camping,piro,mi,pictured rocks national lakeshore
camping,pisp,az,pipe spring national monument
camping,pohe,"dc,md,pa,va",potomac heritage national scenic trail
camping,pore,ca,point reyes national seashore
camping,prwi,va,prince william forest park
camping,puhe,hi,puukohola heiau national historic site
camping,redw,ca,redwood national and state parks
camping,rigr,tx,rio grande wild and scenic river
camping,romo,co,rocky mountain national park
camping,sacn,"wi,mn",saint croix national scenic riverway
camping,sagu,az,saguaro national park
camping,samo,ca,santa monica mountains national recreation area
camping,seki,ca,sequoia and kings canyon national parks
camping,shen,va,shenandoah national park
camping,slbe,mi,sleeping bear dunes national lakeshore
camping,stsp,"dc,md,va",star-spangled banner national historic trail
camping,thro,nd,theodore roosevelt national park
camping,upde,"ny,pa",upper delaware scenic and recreational river
camping,viis,vi,virgin islands national park
camping,voya,mn,voyageurs national park
camping,whis,ca,whiskeytown national recreation area
camping,whsa,nm,white sands national park
camping,wica,sd,wind cave national park
camping,wrst,ak,wrangell - st elias national park and preserve
camping,yell,"id,mt,wy",yellowstone national park
camping,yose,ca,yosemite national park
camping,yuch,ak,yukon - charley rivers national preserve
camping,zion,ut,zion national park
canyoneering,arch,ut,arches national park
canyoneering,care,ut,capitol reef national park
canyoneering,deva,"ca,nv",death valley national park
canyoneering,wrst,ak,wrangell - st elias national park and preserve
canyoneering,zion,ut,zion national park
caving,buff,ar,buffalo national river
caving,cave,nm,carlsbad caverns national park
caving,coro,az,coronado national memorial
caving,crmo,id,craters of the moon national monument and preserve
caving,cuga,"ky,tn,va",cumberland gap national historical park
caving,elma,nm,el malpais national monument
caving,grba,nv,great basin national park
caving,jeca,sd,jewel cave national monument
caving,labe,ca,lava beds national monument
caving,maca,ky,mammoth cave national park
caving,orca,or,oregon caves national monument and preserve
caving,ozar,mo,ozark national scenic riverways
caving,pinn,ca,pinnacles national park
caving,seki,ca,sequoia and kings canyon national parks
caving,tica,ut,timpanogos cave national monument
caving,wica,sd,wind cave national park
climbing,acad,me,acadia national park
climbing,ania,ak,aniakchak national monument and preserve
climbing,arch,ut,arches national park
climbing,biso,"ky,tn",big south fork national river and recreation area
climbing,blca,co,black canyon of the gunnison national park
climbing,cany,ut,canyonlands national park
climbing,care,ut,capitol reef national park
climbing,cato,md,catoctin mountain park
climbing,chch,"ga,tn",chickamauga and chattanooga national military park
climbing,ciro,id,city of rocks national reserve
climbing,colm,co,colorado national monument
climbing,cure,co,curecanti national recreation area
climbing,dena,ak,denali national park and preserve
climbing,deto,wy,devils tower national monument
climbing,dewa,"nj,pa",delaware water gap national recreation area
climbing,gaar,ak,gates of the arctic national park and preserve
climbing,glac,mt,glacier national park
climbing,glba,ak,glacier bay national park and preserve
climbing,grba,nv,great basin national park
climbing,grsa,co,great sand dunes national park and preserve
climbing,grte,wy,grand teton national park
climbing,jotr,ca,joshua tree national park
climbing,kefj,ak,kenai fjords national park
climbing,klgo,ak,klondike gold rush national historical park
climbing,lacl,ak,lake clark national park and preserve
climbing,liri,al,little river canyon national preserve
climbing,mora,wa,mount rainier national park
climbing,neri,wv,new river gorge national park and preserve
climbing,noca,wa,north cascades national park
climbing,obed,tn,obed wild and scenic river
climbing,olym,wa,olympic national park
climbing,pinn,ca,pinnacles national park
climbing,piro,mi,pictured rocks national lakeshore
climbing,romo,co,rocky mountain national park
climbing,samo,ca,santa monica mountains national recreation area
climbing,seki,ca,sequoia and kings canyon national parks
climbing,shen,va,shenandoah national park
climbing,wrst,ak,wrangell - st elias national park and preserve
